id,race,age,marital_status,kids_no,school_type,maxgrade,comleted,degree,pregnancy_count,marriage_count,religion,ever_worked,work_type,weight,height,earnings
28747,white,20,never married,0,college,3,False,None,0,None,protestant,False,both,75,175,5000
30143,white,20,never married,0,college,3,False,None,0,None,None,True,part-time,61,163,10000
31752,white,21,never married,0,college,4,False,None,0,None,protestant,False,both,68,173,7500
32021,hispanic,21,never married,0,college,4,False,None,0,None,protestant,False,part-time,57,160,7500
27795,white,19,never married,0,college,3,False,None,0,None,protestant,False,part-time,54,163,20000
29081,white,21,never married,0,college,4,False,None,0,None,None,False,part-time,68,165,5000
31981,other,20,never married,0,college,3,False,None,0,None,catholic,False,part-time,47,152,7500
31751,white,16,never married,0,school,11,False,None,0,None,catholic,False,part-time,113,173,10000
32669,white,44,married,2,college,4,True,Bachelor,3,1,protestant,True,part-time,73,168,12500
35164,white,30,informal relationship,1,college,6,True,Master,2,1,protestant,False,full-time,None,None,5000
33690,white,37,married,1,college,2,True,Associate,1,1,other,True,both,None,163,25000
30991,hispanic,39,married,1,college,1,True,None,1,1,baptist,True,None,125,152,7500
30445,black,28,never married,2,college,3,True,Associate,2,None,protestant,True,both,73,165,20000
31815,white,30,informal relationship,3,college,2,True,None,5,None,protestant,True,full-time,None,None,15000
29641,hispanic,21,informal relationship,3,school,9,False,None,4,None,catholic,False,None,None,None,None
28528,white,25,informal relationship,1,college,1,True,None,2,None,protestant,True,full-time,59,163,7500
29678,white,26,never married,0,college,4,True,Bachelor,0,None,protestant,True,full-time,48,155,50000
42235,white,23,never married,0,college,4,True,Bachelor,0,None,protestant,True,both,70,178,5000
39591,black,18,never married,0,college,1,False,None,0,None,baptist,False,part-time,125,165,5000
38217,hispanic,19,informal relationship,1,school,11,False,None,1,None,catholic,True,None,52,160,10000
40560,black,34,never married,0,college,4,False,Associate,1,None,protestant,True,full-time,104,163,30000
34020,white,17,never married,0,school,11,False,None,0,None,None,False,part-time,69,160,5000
39251,black,22,informal relationship,3,college,3,False,None,4,None,protestant,False,part-time,None,None,10000
41072,white,23,never married,0,school,12,True,None,0,None,protestant,True,full-time,88,168,20000
35253,white,18,never married,1,school,12,True,None,1,None,None,True,full-time,64,168,7500
37997,white,43,married,2,college,4,True,Bachelor,3,1,baptist,True,None,52,160,35000
37328,white,43,widowed,0,college,7,True,Master,0,2,protestant,True,full-time,50,160,50000
36912,white,22,never married,0,college,1,False,None,1,None,None,True,both,48,157,15000
35826,white,29,married,0,college,4,True,Bachelor,2,1,None,True,full-time,63,157,50000
42611,other,33,married,3,college,4,True,Bachelor,5,1,baptist,True,full-time,56,157,75000
34743,white,31,separated,2,school,12,True,None,2,1,baptist,True,full-time,79,175,40000
37055,white,38,never married,1,college,2,True,Associate,3,None,baptist,True,full-time,105,157,20000
40791,black,21,never married,1,college,1,False,None,1,None,baptist,True,full-time,47,157,7500
38660,black,41,never married,2,college,1,False,None,2,None,baptist,True,None,125,163,40000
